22 6 0 22 10 0 22 17 0 22 20 0 22 28 0 
24 8 0 24 18 0 24 22 0 24 25 0 24 31 0 
19 7 0 19 10 0 19 14 0 19 20 0 19 23 0 
11 28 0 11 25 0 11 19 0 11 14 0 11 11 0 
16 27 0 16 23 0 16 10 0 16 7 0 16 2 0 
21 23 0 21 20 0 21 9 0 21 6 0 21 3 0 
27 27 0 27 24 0 27 20 0 27 18 0 27 7 0 
19 25 0 19 20 0 19 8 0 19 6 0 19 0 0 
19 11 0 19 13 0 19 20 0 19 27 0 19 31 0 
20 13 0 20 16 0 20 20 0 20 22 0 20 31 0 
13 27 0 13 19 0 13 14 0 13 6 0 13 4 0 
28 23 0 28 14 0 28 12 0 28 7 0 28 3 0 
26 2 0 26 11 0 26 14 0 26 19 0 26 27 0 
16 8 0 16 12 0 16 21 0 16 27 0 16 31 0 
15 30 0 15 26 0 15 21 0 15 15 0 15 6 0 
24 6 0 24 8 0 24 23 0 24 26 0 24 31 0 
25 29 0 25 26 0 25 22 0 25 18 0 25 2 0 
22 1 0 22 3 0 22 8 0 22 14 0 22 17 0 
3 8 0 3 14 0 3 17 0 3 20 0 3 22 0 
10 9 0 10 12 0 10 18 0 10 22 0 10 25 0 
30 7 0 30 9 0 30 16 0 30 23 0 30 26 0 
14 10 0 14 13 0 14 17 0 14 20 0 14 23 0 
29 6 0 29 14 0 29 22 0 29 27 0 29 30 0 
12 27 0 12 22 0 12 19 0 12 7 0 12 3 0 
15 29 0 15 24 0 15 19 0 15 13 0 15 10 0 
28 29 0 28 13 0 28 9 0 28 6 0 28 1 0 
2 3 0 2 10 0 2 14 0 2 23 0 2 26 0 
26 3 0 26 7 0 26 12 0 26 14 0 26 22 0 
2 21 0 2 12 0 2 10 0 2 4 0 2 1 0 
6 9 0 6 11 0 6 17 0 6 20 0 6 23 0 
14 5 0 14 9 0 14 14 0 14 17 0 14 25 0 
15 6 0 15 10 0 15 16 0 15 19 0 15 25 0 
8 0 5 8 0 11 8 0 15 8 0 19 8 0 24 
26 0 9 26 0 12 26 0 17 26 0 20 26 0 25 
11 0 1 11 0 4 11 0 8 11 0 15 11 0 20 
26 0 1 26 0 6 26 0 10 26 0 14 26 0 17 
25 0 3 25 0 14 25 0 19 25 0 23 25 0 27 
8 0 14 8 0 19 8 0 22 8 0 27 8 0 30 
5 0 22 5 0 15 5 0 10 5 0 7 5 0 2 
21 0 27 21 0 15 21 0 10 21 0 7 21 0 3 
3 0 5 3 0 10 3 0 13 3 0 24 3 0 27 
21 0 14 21 0 19 21 0 25 21 0 28 21 0 31 
6 0 26 6 0 21 6 0 15 6 0 11 6 0 7 
13 0 22 13 0 17 13 0 11 13 0 5 13 0 0 
13 0 28 13 0 24 13 0 18 13 0 14 13 0 11 
2 0 5 2 0 10 2 0 14 2 0 18 2 0 23 
27 0 4 27 0 11 27 0 15 27 0 25 27 0 30 
14 0 3 14 0 14 14 0 19 14 0 23 14 0 27 
9 0 2 9 0 6 9 0 14 9 0 20 9 0 25 
30 0 2 30 0 5 30 0 16 30 0 20 30 0 23 
29 0 8 29 0 13 29 0 21 29 0 26 29 0 30 
25 0 26 25 0 18 25 0 10 25 0 6 25 0 1 
11 0 2 11 0 5 11 0 11 11 0 21 11 0 24 
6 0 28 6 0 23 6 0 19 6 0 9 6 0 0 
13 0 20 13 0 16 13 0 11 13 0 7 13 0 4 
15 0 6 15 0 10 15 0 17 15 0 20 15 0 23 
3 0 11 3 0 16 3 0 22 3 0 25 3 0 31 
15 0 6 15 0 9 15 0 13 15 0 21 15 0 26 
10 0 27 10 0 21 10 0 10 10 0 6 10 0 0 
13 0 11 13 0 14 13 0 20 13 0 27 13 0 31 
9 0 27 9 0 22 9 0 19 9 0 15 9 0 6 
27 0 28 27 0 24 27 0 17 27 0 10 27 0 5 
19 0 12 19 0 19 19 0 23 19 0 27 19 0 31 
15 0 5 15 0 9 15 0 17 15 0 20 15 0 25 
0 17 28 0 17 24 0 17 14 0 17 9 0 17 7 
0 14 8 0 14 15 0 14 20 0 14 22 0 14 26 
0 11 23 0 11 19 0 11 16 0 11 9 0 11 5 
0 11 5 0 11 9 0 11 18 0 11 20 0 11 23 
0 3 3 0 3 8 0 3 10 0 3 16 0 3 18 
0 23 23 0 23 20 0 23 14 0 23 10 0 23 6 
0 14 25 0 14 21 0 14 16 0 14 12 0 14 6 
0 6 6 0 6 12 0 6 16 0 6 21 0 6 30 
0 16 10 0 16 21 0 16 25 0 16 29 0 16 31 
0 14 10 0 14 12 0 14 19 0 14 25 0 14 27 
0 26 25 0 26 22 0 26 19 0 26 9 0 26 0 
0 24 29 0 24 25 0 24 19 0 24 14 0 24 10 
0 21 6 0 21 12 0 21 17 0 21 20 0 21 25 
0 12 5 0 12 7 0 12 22 0 12 24 0 12 26 
0 26 27 0 26 20 0 26 14 0 26 8 0 26 6 
0 12 7 0 12 10 0 12 15 0 12 24 0 12 26 
0 5 2 0 5 5 0 5 12 0 5 18 0 5 22 
0 29 6 0 29 9 0 29 17 0 29 22 0 29 26 
0 20 4 0 20 10 0 20 14 0 20 28 0 20 30 
0 13 1 0 13 8 0 13 13 0 13 18 0 13 21 
0 4 6 0 4 10 0 4 13 0 4 18 0 4 22 
0 28 29 0 28 16 0 28 10 0 28 5 0 28 2 
0 15 9 0 15 12 0 15 18 0 15 24 0 15 27 
0 23 30 0 23 27 0 23 22 0 23 19 0 23 16 
0 29 23 0 29 18 0 29 16 0 29 8 0 29 4 
0 22 19 0 22 16 0 22 14 0 22 12 0 22 10 
0 5 3 0 5 5 0 5 13 0 5 17 0 5 20 
0 6 28 0 6 22 0 6 18 0 6 16 0 6 0 
