22 8 0 22 14 0 22 19 0 22 24 0 
24 13 0 24 20 0 24 23 0 24 28 0 
19 8 0 19 12 0 19 17 0 19 22 0 
11 26 0 11 22 0 11 16 0 11 12 0 
16 25 0 16 17 0 16 9 0 16 5 0 
21 21 0 21 15 0 21 8 0 21 5 0 
27 25 0 27 22 0 27 19 0 27 12 0 
19 22 0 19 14 0 19 7 0 19 3 0 
19 12 0 19 17 0 19 23 0 19 29 0 
20 14 0 20 18 0 20 21 0 20 27 0 
13 23 0 13 16 0 13 10 0 13 5 0 
28 18 0 28 13 0 28 10 0 28 5 0 
26 6 0 26 12 0 26 16 0 26 23 0 
16 10 0 16 17 0 16 24 0 16 29 0 
15 28 0 15 23 0 15 18 0 15 10 0 
24 7 0 24 15 0 24 24 0 24 29 0 
25 27 0 25 24 0 25 20 0 25 10 0 
22 2 0 22 6 0 22 11 0 22 15 0 
3 11 0 3 15 0 3 18 0 3 21 0 
10 10 0 10 15 0 10 20 0 10 23 0 
30 8 0 30 13 0 30 20 0 30 25 0 
14 11 0 14 15 0 14 19 0 14 22 0 
29 10 0 29 18 0 29 25 0 29 29 0 
12 24 0 12 21 0 12 13 0 12 5 0 
15 26 0 15 22 0 15 16 0 15 12 0 
28 21 0 28 11 0 28 7 0 28 4 0 
2 6 0 2 12 0 2 19 0 2 25 0 
26 5 0 26 10 0 26 13 0 26 18 0 
2 16 0 2 11 0 2 7 0 2 2 0 
6 10 0 6 14 0 6 19 0 6 21 0 
14 7 0 14 11 0 14 15 0 14 21 0 
15 8 0 15 13 0 15 17 0 15 22 0 
8 0 8 8 0 13 8 0 17 8 0 22 
26 0 11 26 0 15 26 0 19 26 0 22 
11 0 3 11 0 6 11 0 12 11 0 18 
26 0 4 26 0 8 26 0 12 26 0 16 
25 0 9 25 0 16 25 0 21 25 0 25 
8 0 17 8 0 21 8 0 24 8 0 29 
5 0 19 5 0 13 5 0 8 5 0 5 
21 0 21 21 0 13 21 0 8 21 0 5 
3 0 8 3 0 12 3 0 18 3 0 26 
21 0 17 21 0 22 21 0 27 21 0 30 
6 0 24 6 0 18 6 0 13 6 0 9 
13 0 20 13 0 14 13 0 8 13 0 2 
13 0 26 13 0 21 13 0 16 13 0 12 
2 0 8 2 0 12 2 0 16 2 0 20 
27 0 8 27 0 13 27 0 20 27 0 27 
14 0 9 14 0 17 14 0 21 14 0 25 
9 0 4 9 0 10 9 0 17 9 0 23 
30 0 4 30 0 10 30 0 18 30 0 22 
29 0 11 29 0 17 29 0 24 29 0 28 
25 0 22 25 0 14 25 0 8 25 0 4 
11 0 4 11 0 8 11 0 16 11 0 23 
6 0 26 6 0 21 6 0 14 6 0 4 
13 0 18 13 0 14 13 0 9 13 0 5 
15 0 8 15 0 14 15 0 19 15 0 22 
3 0 14 3 0 19 3 0 24 3 0 28 
15 0 8 15 0 11 15 0 17 15 0 24 
10 0 24 10 0 15 10 0 8 10 0 3 
13 0 13 13 0 17 13 0 24 13 0 29 
9 0 25 9 0 20 9 0 17 9 0 11 
27 0 26 27 0 20 27 0 13 27 0 7 
19 0 16 19 0 21 19 0 25 19 0 29 
15 0 7 15 0 13 15 0 19 15 0 22 
0 17 26 0 17 19 0 17 11 0 17 8 
0 14 11 0 14 18 0 14 21 0 14 24 
0 11 21 0 11 17 0 11 12 0 11 7 
0 11 7 0 11 14 0 11 19 0 11 22 
0 3 5 0 3 9 0 3 13 0 3 17 
0 23 21 0 23 17 0 23 12 0 23 8 
0 14 23 0 14 19 0 14 14 0 14 9 
0 6 9 0 6 14 0 6 19 0 6 25 
0 16 15 0 16 23 0 16 27 0 16 30 
0 14 11 0 14 15 0 14 22 0 14 26 
0 26 23 0 26 20 0 26 14 0 26 4 
0 24 27 0 24 22 0 24 16 0 24 12 
0 21 9 0 21 15 0 21 18 0 21 22 
0 12 6 0 12 14 0 12 23 0 12 25 
0 26 23 0 26 17 0 26 11 0 26 7 
0 12 8 0 12 12 0 12 19 0 12 25 
0 5 3 0 5 8 0 5 15 0 5 20 
0 29 7 0 29 13 0 29 19 0 29 24 
0 20 7 0 20 12 0 20 21 0 20 29 
0 13 4 0 13 10 0 13 16 0 13 20 
0 4 8 0 4 11 0 4 16 0 4 20 
0 28 22 0 28 13 0 28 7 0 28 3 
0 15 10 0 15 15 0 15 21 0 15 25 
0 23 28 0 23 24 0 23 20 0 23 17 
0 29 20 0 29 17 0 29 12 0 29 6 
0 22 17 0 22 15 0 22 13 0 22 11 
0 5 4 0 5 9 0 5 15 0 5 19 
0 6 25 0 6 20 0 6 17 0 6 8 
